"ResponseId","Q8_1","Q8_2","Q8_3","Q8_4","Q8_5","Q8_6","Q8_7","Q8_8","Q8_9","Q8_10","Q8_11","Q8_12","Q8_13","Q8_14","Q8_15","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q9_8","Q9_9","Q9_10","Q9_11","Q9_12","Q9_13","Q9_14","Q9_15","Q10","Q11","Q12","Q13","Q14","Q15_1","Q16","Q17","Q18","writing"
"R_eCF05KLvFgbxiTP",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,"Man",19,"Black","1","christan",4,"undeclared",4,4,"Honestly I am not sure how I feel about it because I thought it was instructions still and I had skipped over it on accident.  "
"R_08K2pThLli8IaCF",4,5,5,4,4,4,4,4,4,5,4,4,4,4,5,4,6,5,5,5,4,4,6,4,5,5,5,5,5,4,"Woman",19,"White","1","Latter Day Saints",2,"Marketing",5,4,"I think the United States should mind their own business. They wouldn't want Syria getting into their business and therefore I think we should be fair and let them be. The US should have nothing to worry about Syria and their nuclear weapontry. "
"R_8As3uRRmGnQ48yp",3,4,3,4,2,3,4,3,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,5,4,4,4,3,4,4,"Woman",18,"White","1","catholic",5,"Elementary Education",4,4,"Syria shouldn't be able to use chemical weapons and the United States made a good reaction. I would've dealt with this situation the same way. Syria shouldn't be using chemical weapons towards others. "
"R_bI3pnj6O4CRr3Tv",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Woman",18,"White","1","catholic ",2,"business",4,7,"I think it is crazy and scary that they are using chemical weapons and yes it is a bad think but it is not in our country and I don't know if Obama should get involved. "
"R_bCKCQyuMYSmaIKh",2,3,2,2,3,4,2,1,5,4,3,2,6,3,2,4,3,2,3,2,4,2,2,2,3,3,2,2,3,4,"Man",18,"White","1","Christian",4,"Construction management",2,5,"My reaction and the US's reaction are about the same.  I dont think it would be a good idea to let Syria use chemical weapons.  If they do, the US will have to respond with something bigger and better and I am almost positive that Syria would regret using chemical weapons."
"R_3VmDnfKb7gXZGXX",5,5,5,5,5,5,5,5,5,5,3,3,3,5,4,5,4,3,5,4,4,3,5,4,5,4,4,3,5,4,"Man",20,"White","2","None",2,"Exercise Science",8,8,"I think Obama handled the situation poorly and really made the US look very weak in comparison the Vladimir Putin's regime. We made Putin look very good while our president looked lost and confused. Syria was ethically not right in using chemical weapons on their own people and if I were those people I would want someone to help. I just believe the United states should not have been involved from the beginning. I also believe the united states sole duty should not be the world police."
"R_9z39HVTcR8Xpkbj",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,4,5,5,4,"Woman",19,"White","1","Christian ",2,"Nursing ",6,6,"We need to be protecting ourselves from this, we need to show that we will not be pushed around."
"R_1zRUzSSW0ZYmbrf",4,4,4,3,4,4,3,4,3,3,3,3,4,3,5,3,4,3,3,3,4,4,4,4,3,4,4,5,2,4,"Man",21,"Black","2","N/A",6,"Accounting",4,4,"I really dont know that much about the reactions of chemical weapons from the united states and syria. I would guess that both did not like the idea of each other having them. Syria probably didn't like that the united states was trying to persuade them to get rid of their chemical weapons."
"R_eb8nRC4alPEatzT",3,3,3,4,4,1,3,5,3,3,2,4,3,4,4,6,5,5,6,3,3,3,2,3,4,4,3,3,2,1,"Man",19,"White","1","Catholic",4,"Marketing",3,7,"I thought that the things that happened in Syria were awful events that should definitely not go unpunished. The face that thousands of completely innocent people, including children, got tortured with chemical attacks is terrible. I think that the United States' reaction was appropriate but I do agree with Carter's input on waiting for The United Nations to further investigate this terrorist attack. I also think that the U.S. should wait and maybe get the aid of another country or maybe even several other countries. "
"R_42zlBLg0sXvIT4N",4,6,5,5,3,5,6,3,5,4,3,6,4,1,3,4,3,4,5,4,3,4,5,4,6,5,4,3,4,4,"Man",18,"Black","1","Christian",5,"Business",1,1,"I don't think they should be able to have chemical weapons, I don't think the US should ever trust them either."
"R_2s17FJ47uI58kOF",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,6,4,5,6,6,6,5,4,4,4,3,"Woman",18,"White","1","Catholic",7,"Spanish-BSED",3,1,"I think that it is concerning that they are using chemical weapons. Also, I think that it is unnecessary. "
"R_cC1gfvYnvsbfagR",6,6,4,3,4,5,4,5,4,2,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,"Man",18,"White","1","Catholic",1,"Sports Management",3,1,"I think that Chemical weapons in Syria so not be allowed because they are way to dangerous and they do not need to use them but they are and the US does not like that and I am on the side with the US because they should not be able to use those weapons because they can kill way to many people at once and the US does not think that is the right thing to use but Syria still makes these weapons so that is why US is thinking about going to war with them."
"R_4NJuPHADSDSv5HL",5,4,6,6,6,1,3,1,1,1,1,3,4,3,5,3,6,2,1,3,1,1,5,1,4,1,6,4,1,1,"Woman",18,"White","1","Baptist, but i am not very religious at all",5,"Political Science",6,8,"I was more shocked at the united states reactions to what was going on in syria because it really isn't any of our business and the only reason that the United States makes it our business is because they want to gain political power and control over the world"
"R_5zPuCD82J5Xhq8l",4,4,2,3,5,2,3,4,3,2,4,2,3,5,4,3,4,4,5,6,5,4,3,2,3,3,3,2,4,2,"Man",19,"White","1","Lutheran",2,"Criminology ",6,6,"I don't know a lot about Syria's use of chemical weapons except that a political leader used chemical weapons against his own people when they started rioting. I believe that the use of these weapons on civilians and should not be done. It shouldn't be done period but especially on unarmed civilians. I think the United States should not interfere seeing that we need to be more focused on our own problems before fixing other countries problems. "
"R_3Vrdtwhx93rBfcF",5,4,5,5,4,5,6,4,5,5,6,5,5,5,4,5,4,5,6,5,6,6,6,4,5,6,4,3,6,4,"Man",19,"White","1","Luthern",5,"undecided",6,5,"I think that Syria should not be allowed to either hold or use chemical weapons for fear of a nuclear war outbreak throughout the globe. I believe that the United states had the correct reaction of not wanting them to use chemical weapons."
"R_006BvXCNCZFVxLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"R_dcE7M0Lr00uV5mR",4,4,3,3,2,3,2,4,3,2,3,4,2,5,6,5,5,2,5,3,3,4,4,5,1,5,4,3,4,3,"Woman",19,"White","2","christian",1,"criminology, pre-law",6,7,"I think that it is really hypocritical for America to get so defensive to this.  We have chemical weapons and nuclear bombs as well.  I mean, come on, we used a nuclear weapon that killed thousands of people too.  Many of them were innocent.  What is it to us if another country has weapons they can use for defense just like we do.  I guess we should do all we can to protect ourselves from them and to help other countries get protected from them, but it is not our right to take these weapons from them.  Its not fair.  "
"R_bQRXKSS7xSdFj9P",4,3,4,4,4,4,3,3,4,3,4,4,4,4,5,4,5,4,4,4,4,6,3,4,4,4,3,4,4,3,"Woman",18,"White","1","Catholic",1,"Elementary education",5,6,"I think it is wrong for the President of Syria to use chemical warfare against his own people. He is not showing that he is a trustworthy leader or even deserves to be president. The US should take action against the use of chemical weapons because it is harming the people of Syria. It would be a morally right thing to do."
"R_6L6BLNDrRz5tTU1",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Man",20,"White","2","Buddhist ",5,"Exercise and Movement Science",1,1,"Syria's use of chemical weapons wasn't exactly shocking to me, there has been constant fighting over that land and who their God gave it too exactly. This a  fight that has been and will be going on for an extremely long amount of time and no United States inaction can help that. The best thing for the US to do is to let it go, the United Nations will deal with it which we have plenty of involvement in. This way we can have our say of what we should do about it without having only our name on the decision. This way there can't be any direct hatred towards the United States. "
"R_9GFDNxUu5mMLtA1",4,4,3,2,4,3,3,4,2,3,3,4,3,3,2,3,4,4,4,2,3,4,3,3,3,4,3,2,4,3,"Man",18,"White","1","Catholic",1,"Undecided",8,7,"Syria is a big threat with chemical weapons and the United States should be extremely careful with how they go about dealing with the situation.  Syria has shown that they are not afraid to use chemical weapons and it could easily happen again.  I think it is ridiculous coming from a U.S. citizen's point of view because the United states would never even consider using chemical weapons to instigate something first much like Syria would."
"R_42fXRizXrF2Mv41",5,4,3,5,3,4,4,6,2,5,4,3,4,3,6,3,3,3,3,5,4,5,5,6,3,3,4,4,5,1,"Man",19,"White","1","Catholic",1,"Pre Law",10,10,"The United States is not too happy with the way Syria is presenting themselves and their weapons.  It is a major issue to American's today and is a main concern to many government officials.  Syria's use of the weapons is a more recent issue."
"R_0SrnOeAPJgFYpyB",3,4,3,3,3,4,3,3,3,4,3,4,3,4,4,6,5,6,6,6,3,6,5,5,5,5,5,5,4,4,"Man",19,"Black","2","Muslim",9,"Exercise and Movement Sciences",5,7,"It was horrible, just horrible! I was so sad when I hear that in the News. People should be ashamed to use chemical weapons against children and pregnant women who have clearly nothing to do with the war.
the United states did great and I completely agree with their approaches!"
"R_2hoyYQwbmirscip",3,3,2,3,3,2,2,3,2,2,2,3,3,2,2,2,2,2,2,3,3,3,2,2,2,2,3,2,3,3,"Man",19,"White","1","christain",2,"business",1,1,"I was very upset when I read this about Syria's and the use of their chemical weapons. It is a threat to the United States and could be very dangerous if they use those weapons against the United States. United States reaction was to strike before Syria would strike them. Either way it is very dangerous to be fighting with the use of chemical weapons being available."
"R_08SEMWFv9HOsntP",3,3,4,4,4,4,5,5,5,4,3,5,4,3,4,4,4,2,5,5,2,6,5,4,5,5,5,4,3,4,"Man",20,"White","1","Catholic",9,"Criminology",2,8,"Syria's use of chemical weapons on its own people is completely inhumane and absurd, but even worse I don't think the US government did enough after the incident to prevent future attacks of the same manor."
"R_dcyLeoJZqxwMqH3",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Woman",19,"White","1","Christian",1,"Agriculture Business Finance and Management",5,3,"The way Syria was using chemical weapons of their civilians and plans to use on other countries was unthinkable. It would have led to a mass war on the planet. The way the US reacted was was the best way that they could have. "
"R_1MkPKZbYKItj1Jj",6,5,4,3,2,2,3,4,5,4,3,4,5,4,4,6,5,4,3,3,3,3,4,5,4,3,4,4,5,5,"Woman",19,"White","1","none",5,"criminal justice",2,1,"My reaction is that i think we should have seen this coming. theres always someone who is going to try and develop better chemical weapons and do better things with them. I think that no matter what we should watch our backs because no matter what if there our ally or friend if they think that they have the upper hand they will turn on us and we will just be sitting here with our heads spinning. Our reaction could have been stronger than the speech, they need to know we are serious and just not throwing out threats. "
"R_b1M9stCisXtsaPz",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Woman",20,"White","2","Wiccan, to piss off my dad because he is a religious bigot",5,"biology",5,5,"It is horrible that those people died and in such an terrible way. I think that chemical warfare is terrible."
"R_dbf3tXBMtmIDeVD",1,6,6,1,1,5,4,6,6,6,4,2,4,6,6,2,4,3,2,4,6,6,6,1,6,2,4,4,1,1,"Man",19,"White","1","Athiest",10,"Athletic Training",10,10,"I believe tat the use of chemical weapons really brings people down to a very primal level that has been been seen in this world what was said to be nearly 25 years. I think that the use of chemical weapons is disgusting and the United States should do everything in its power to try and stop Syria from continuing to use chemical weapons."
"R_82POswcMeSCxZhb",4,5,5,4,5,5,4,5,5,4,4,5,5,4,5,5,6,1,5,5,3,5,5,3,5,3,4,2,2,4,"Man",18,"White","1","christain",5,"nursing",2,2,""
"R_eznDIP9vAMWYxa5",4,4,5,3,5,4,6,3,6,3,4,3,5,4,3,1,4,2,5,5,2,3,3,4,2,1,4,2,3,2,"Man",20,"Hispanic","2","Christian",8,"business management",6,3,"The use chemical weapons by Syria was absolutely crazy. I believe that the only time, if any, there's a need for chemical warfare is if the whole world is at stake. Such as, in the case of WW2. So many people were dying because of the decisions of lesser A's political figures. If it's for the better good of humanity, then it is barely acceptable, but when it is merely because of a disagreement, then that is unacceptable in every way possible. I think the I.S. is right in stepping in this situation, because if not us, then nobody would"
"R_40CBWpeB80xlvIF",3,3,1,3,3,2,1,1,4,3,1,1,3,1,1,2,5,2,5,4,2,5,2,4,6,1,4,1,4,2,"Woman",24,"White","4","Baptist ",3,"Secondary English Education ",1,1,"I think that the United States should have stepped in sooner because then the attack on Damascus could have been avoided, but Obama doesn't want to make himself look any worse than he already does. I think Syria is seeing things as a last resort because things are not going their way. In a way this is their attempt at asking for help, they don't want to take help from a country that will not offer it without strings attached. If the United States would just keep their nose out of other countries business then things like this wouldn't make the news in this country and people could go on living a normal life and not believe that we are going to be attacked again. "
"R_ac38dyg1zpwRLoN",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,4,5,5,4,4,3,3,4,4,4,4,4,4,"Woman",18,"White","1","christian",5,"computer information systems",5,4,"I think that Syria's use of chemical weapons was really unneeded and brutal. Syria murdered their own people and doesn't even seem to think they did any wrong. I think the US was right to spread the news and try to help them but also I know that the US tends to get involved in things they probably shouldn't and it we have gotten into trouble by doing that before and are still paying for it."
"R_3VMOMK55BYo2PvT",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,5,2,4,4,4,6,6,5,3,3,3,"Man",19,"White","1","",1,"Accounting",5,8,"I feel like Obama gave them those weapons. Just  like he gave the muslim brotherhood over in Egypt tanks during their little rebellion. I just find it very hard to trust Obama nowadays."
"R_eQDXvBihYMX6HiJ",3,3,3,3,3,3,3,4,1,2,2,4,3,3,3,4,3,4,4,3,3,2,5,5,2,2,1,6,4,4,"Man",22,"White","4","Catholic",10,"Elementary Education",2,2,"I believe the use of chemical weapons in any way shape or form is a horrific ordeal. You can only imagine walking into a store or an area you frequently visit in your hometown and getting attacked by a large smog of chemically produced lethal gas. I think that Syria's use of chemical weapons was a terrible thing and the u.s. has rebutted quite persistently to their actions. President Obama has taken the correct form of action to show that the United States will not tolerate actions like chemical warfare and we will find a way to prevent it from happening anymore.  "
"R_2tmmqCqFBW67Ofz",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,2,5,4,4,5,4,3,3,3,4,"Man",24,"White","3","Christian",6,"ag business",5,5,"I belief that we should not involve our selves in other nations doing, let them do their own thing, unless it is directed to our nation then we can take action"
"R_9T7zDNx3z6DPYk5",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,6,6,5,5,5,3,5,5,5,5,5,5,"Woman",18,"White","1","Christian",5,"Pre-nursing",1,1,"Honestly, I feel that it is not the United State's position to intervene in any other country. While the United States stands for peace and equality--our nation has enough problems that require personal attention, which should be first and foremost. Our nation will spend billions, and be billions in debt, and it's going to completely ruin our nation's credibility someday."
"R_3fbeBAKQt8Vu4OF",6,6,6,5,3,4,5,5,4,6,5,4,5,4,4,6,5,4,5,4,6,6,4,5,6,5,4,3,5,6,"Man",19,"White","1","Undecided",5,"Accountign",1,1,"I think that Syria's use of chemical weapons is terrible. I always thought that the world kind of had a mutual agreement that chemical warfare would not happen because it is to brutal to die from chemicals. I am not sure why I thought that but it was always what I thought. Them using chemical weapons shows that there are no rules whatsoever. They will do anything they want to get what they want, no matter to consequences. I am with the United States to react with using chemical weapons as well. It is only fair."
"R_beIQJ2fgRbEaujj",5,3,5,5,6,6,2,5,3,3,1,3,6,5,1,4,3,4,6,4,2,3,2,5,4,2,2,4,3,2,"Man",21,"White","3","Atheist",5,"Audio Studies",1,1,"I wasn't aware that chemical weapons were still being used. They're inhumane and most countries have banned them. But I'm not sure why the US hasn't gone in further. Because they crossed our ""red line"" that should be our signal to take further action. "
"R_esNOZUHE1vTJLBb",4,5,4,5,5,5,4,4,4,5,5,4,5,6,5,6,5,4,6,6,5,5,6,5,5,6,5,6,6,4,"Man",20,"White","3","christian",5,"marketing",6,8,"I believe that United States has every right to be concerned with the chemical weapons of Syria. Syria can cause harm to many of the countries through out the world with these weapons. The United States should first try to make an agreement with Syria about there weapons.However, if an agreement cannot be met then the United states should do whatever it takes to get the weapons away from them. With these weapons many lives can be taken. I feel as though many people would be very happy if the United States did jump in and confiscate the weapons."
"R_bHI1UTai1ChLUy1",1,1,3,3,2,4,5,1,1,1,1,1,1,1,3,4,5,5,6,4,1,2,5,6,6,1,5,6,6,3,"Woman",19,"Hispanic","3","Catholic",3,"Agriculture Business",3,2,"I think that the United States had the right to talk about what is going on with Syria but to get involved is a entirely different activity. For the United States to be concerned that something may be happening is one thing but to send others in harms was is another. I think that the United States needs to inform its people of the events around the world but to not get involved with the government of another country. It can suggest to another country but not send military to control a country. I think that the United States needs to get involved with the problems in this growing country first then be worried about another country's problems."
"R_9QxNxZYnWJOI2cB",5,5,5,5,5,5,3,5,4,3,3,4,5,4,4,5,4,4,5,5,4,4,3,3,5,4,4,4,3,4,"Man",19,"White","1","Christian",5,"Vocal Education",1,1,"I thought that our reaction was justified, rushing into Syria head on isn't the best strategy, regardless of how the Syrians are acting. President Obama made a good decision on behalf of the US. Should Bashar be taken out of power? It wouldn't be a bad idea. Do we have to be the ones to accomplish that? No i don't think so. We should support them, not do it for them."
"R_6KEyjcCwio5lLXn",4,3,2,4,3,4,3,5,4,3,3,3,4,3,4,3,3,4,3,4,4,3,3,4,3,4,4,3,4,3,"Man",19,NA,"3","catholic",9,"undecided",2,2,"abortion is wrong and there needs to be a law that makes it illegal.Many people think abortion is ok but I think it is a minor case of murder. a person that willingly kills another human should be put in jail. if you don't want a kid then you shouldn't have sex its as simple as that. some think abortion should be a personal decision but in my mind it is completely wrong to decide to kill a human being.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , , "
"R_8u0oc3lbAULPyjX",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Man",19,"White","1","Christian",5,"Undecided",7,10,"Syria's use of chemical weapons brings up a lot of questions on what really is happening. United States act towards Syria can be seen as admirable or an act of selfishness. Either way the way a person looks at the situation they will view this whole situation differently, there probably will not be a full agreement on his topic because of the diversity in the world."
"R_eED7u1fvq3IITid",2,3,4,3,4,5,3,4,4,3,2,3,3,2,3,2,5,1,3,3,1,6,4,3,5,3,6,4,4,2,"Man",19,NA,"6","Protestant",3,"Accounting",6,10,", , "
"R_eYaDTRafTbrGpY9",5,5,5,5,5,5,5,4,4,4,4,5,6,6,6,6,4,4,4,5,1,5,4,5,5,5,6,5,5,5,"Man",18,"White","1","Catholic",2,"Cell and Molecular Biology",8,7,"I think that Syria's use of chemical weapons should be stopped, and that it is very dangerous for surrounding countries. I feel like the United States could definitely be more aggressive, and needs to step up and show how strong we truly are."
"R_9YR1L8or4eYSZyR",4,5,6,4,4,6,4,4,5,3,3,6,4,3,2,3,6,1,4,4,1,5,6,1,4,4,4,4,3,2,"Man",17,"White","5","Agnostic / Raised christian ",2,"Undecided",1,2,"Syria used chemical weapons unjustly and rashly. They gassed a area where women and children were present which was completely unethical. The reaction of the president seems like it would do nothing, an ultimatum requiring a stop would seem to provide a better solution to immediately stop said activities. "
