Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1,Q24,Q25,Q26,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q10,Q11,Q12,Q13,Q14,Q15_1,Q23,Q16,Q17,Q18
964,1,9/21/14 19:55,R_5hGHn1rRCygCGBn,,,,,,,2,"Abortion is murder and cruel. Though there are some exceptions for abortion, most of the reasons for it are selfish and unreasonable. Exceptions include: a victim of rape, a child who was not aware of the risks that cannot physically hold a baby, and a person who is at risk of dying while being pregnant. However, most women use abortion, because they are not ready to take on such a time consuming task. Whether it be they are in school or too young, they have no excuse to choose abortion considering they knew the risks of getting pregnant while sexually active. This is not an acceptable form of choice for ""getting rid of a child"". This is a human being we are talking about; not some unimportant lifeless thing. Many people consider abortion a way out of their mistakes. They like to take the easy way out out of selfishness, because they are either fearful of what people will think of them, or the father is out of the picture. Either way, a normal, healthy teenager who becomes pregnant needs to face her fears and take on the challenge of having a child. They do not have to raise the child if they feel like it is best for the child, but killing it is just a way for them to get what they want. Wanting something and doing what is morally right are two different things, and a woman, knowing the risks of sexual activity, should own up to the consequences and take a stand. There are many creepy people in the world nowadays though that take advantage of young girls, teenagers, or even grown women. Circumstances like this call for abortion if the woman becomes pregnant as a victim of rape. This was something they were not giving consent to, therefore they had no control over whether they would become pregnant or not. Also, if a young child, old enough to be sexually active, becomes pregnant, they should be able to have an abortion if their body cannot physically support a baby. Certain situations place women in awkward positions, but if they did not have a say in what their bodies went through, they should have the choice of what they further allow their bodies to deal with. ",,,6,6,5,5,5,5,4,4,5,5,5,5,4,3,5,5,6,5,5,4,5,3,5,4,5,5,5,5,5,5,2,18,8,0,Christian,3,3,psychology,1,1
813,1,9/21/14 22:03,R_8dLC3z2bFchBbF3,,,,,,,2,,"Same-sex marriage should not be an issue, in my opinion. America is a country known for its equality. The American Dream, while possible dead, is based on the equal opportunity for success and happiness provided to all American citizens. Furthermore, the Declaration of Independence eloquently states that all citizens should have the right to ""life, liberty, and the pursuit of happiness."" In my opinion, it is absurd to refuse a couple the right to happiness due to sexuality. Religious difference is a vital component to the broth in the melting pot that is America. It is preposterous for someone to take offense from someone holding a different believe than themselves. Denying the right to marriage for same-sex couples is in the same boat as denying medical care to someone because they are an Atheist. While some would not equate medical coverage to marriage, both play important roles in a person's happiness and well-being and should thus be treated with the same respect, regardless of what one religion may have to say on the matter. This is especially true since marriage provides not only qualitative benefits, but quantitative as well in the form of tax breaks and additional income. It is unjust to deny these rights to same-sex couples and it goes against what America stands for - freedom and equality. My last point is a bit more of a subjective opinion, but is perhaps the strongest. The hypocrisy in many people wanting to deny same-sex marriage stands in the way over half of marriages are treated today. The divorce rate now stands at over 50%. If over half of marriages are being tossed aside, how can our society really consider marriage sacred in the religious sense anymore?",,5,5,6,5,5,5,4,4,4,4,2,5,4,4,4,4,6,2,4,5,2,4,4,2,4,1,4,2,4,2,2,19,8,23,Christian - Methodist,7,1,Biology,4,7
231,1,9/22/14 0:27,R_0kv5oVxE7rqkSNL,,,,,,,,,,,4,4,6,6,6,5,2,2,2,2,1,4,3,2,6,5,6,5,5,5,2,2,2,2,5,4,1,2,2,5,2,19,8,26,Christian,8,1,Art + Design,6,10
1418,1,9/22/14 9:45,R_aXIBpmFQuCFYgLP,,,,,,,2,,"I am personally against same-sex marriage. Because of my religious beliefs I define marriage as the union between a man and a woman. There are many reasons for a man and a woman to get married that don't affect same-sex couples. The first of these is last names. In the case of a man and a woman getting married, both the man and woman take the family name of the man. Children of this couple also take the man's last name. In the case of same-sex marriages though the many couples keep their original last names. The next difference is that fact that opposite-sex marriages have the ability to reproduction. While a same-sex couple can adopt children they cannot actually have them, unless a female same-sex couple gets medical assistance. Also right now there are many issues that same-sex marriages face in the state governments. Some states have allowed same-sex marriages while others do not. This has created many legal problems in our court systems. Besides these three reasons I also have my religious beliefs that are against same-sex marriage. While I am personally against same-sex marriage, I won't force my beliefs on others. I feel like forcing my beliefs on other is not an ethical practice. If someone wants to follow my beliefs, that is great, but I feel believe that God gave us free will, so forcing my beliefs on others is wrong.",,5,3,5,3,5,5,5,5,5,5,3,5,5,5,6,5,3,4,4,5,3,4,4,4,5,3,5,4,5,6,1,20,8,80,Baptist,3,2,Computer Science,5,5
2281,1,9/22/14 13:46,R_9TF3V7lMhPcldJP,,,,,,,2,,,"Environmentalism is a very important topic to me and a hard position to be against.  As all living things require a clean and safe place to live, who could refuse the importance of protecting the natural world?  Recycling is something that everyone should be actively engaged in.  It takes very little extra effort to separate recyclable materials from compostable trash, and it makes a measureable difference in both landfill space and oceanic cleanliness.  I personally recycle through my trash hauling company, and they don't even ask me to separate paper, plastic, cardboard, and metal.  Green energy sources seem to be the next major trend, as Germany has very recently pledged to eliminate older ""dirty"" technology and has accomplished near complete success over the course of just a few years.  Many noted investors chose this very week to begin selling off their fossil fuel investments and reinvest in future energy technologies.  I feel the United States has really taken a weak role on this issue, as we have the wind and the desert space to power everything with a relatively modest investment.  Existing policies and grid technology need to be updated, but I'm afraid that it will take another generation before the members of congress responsible for them are literate on the topic.",6,5,5,4,4,5,2,2,2,1,2,3,1,2,1,5,6,3,2,4,2,4,2,3,5,2,4,1,4,1,1,33,8,It's Complicated.,None,8,3,Movement and Exercise Science,7,8
1534,1,9/22/14 15:07,R_a5KunjvWQAkoiJn,,,,,,,2,,"I believe that same-sex marriage is not okay and that marriage should be between one man and one woman. This stance mainly comes from my religious background as a Christian. Of course, as a Christian, I am called to love others and view every sin as equal. So I see people who struggle with same sex attraction as a sin that needs to be overcome, which can only be done with the help of God. People who actually follow through with this sin of attraction and get married is still just a sin. I am never rude or judging of anyone that is married to someone of the same sex, since I sin just as much as they do, but in different ways. I think that a lot of people think we try to condemn the person, but it's nothing against the person, it's the behavior being portrayed. Also, I that in no way shape or form was same-sex marriage wanted by our founding fathers in the constitution. Of course the argument to that is that ""times are changing"" and we must adapt to the culture we're becoming. However, I think it is going to eventually lead to destruction. It is turning a moral wrong into a civil right. Same-sex marriage denies someone either a father or a mother. Maybe I am bias, because I was raised with both a father and mother, but I have learned so much from having both, that I wouldn't want it any other way. ",,5,5,5,4,4,4,4,3,5,5,6,6,6,5,6,6,1,5,3,6,3,6,6,5,6,5,6,6,6,6,2,20,8,99,Christian,2,2,Secondary Mathematics Education,7,10
2936,1,9/22/14 17:31,R_dcbBJ26ErtUAK0d,,,,,,,2,"Abortion in my opinion can be fine in certain situations. I am not saying that abortion is totally right but I think there are some situations where the female should be able to have an abortion. If it is a young adult and not ready for the responsibility to raising a child, I believe they should be able to have an abortion. If a child is going to come into the world with very little or bad parenting then the child should not of been born anyways. The child would be born into a crappy situation because the parent was dumb and was not responsible to be able to raise a child. Abortion is not always wrong in my opinion but it is not right in anyway. Also, I believe that the parents that have an abortion should definitely have to take a class on making the right decisions. A teenager that is just having unprotected sex should not have the idea that they can just go get an abortion if something happens. Then there is another side of me that says killing an unborn child is wrong. I am not going to go into detail but things like that should not happen and is wrong. That is where teenagers that do this need to understand what they are doing and that it is a bigger deal than they think it is.",,,4,5,5,4,5,6,4,6,6,4,4,4,4,5,3,4,3,2,4,4,3,3,6,5,4,5,5,6,3,3,1,18,8,3,rather not say,6,3,Athletic Training,3,3
841,1,9/22/14 17:32,R_6fDjsNClIovYHt3,,,,,,,2,,,"I believe that we as citizens of a community, should take part in protect the environment. It should be part of our own conscience to recycle, avoid littering, and doing other things that are not an inconvenience to us. Although I am against many governmental regulations in most aspects of my political views, I am not against it when it comes to protecting innocent people. I do believe the government has some responsibility to monitor corporations and other entities' output of pollution in to the environment and even set caps where necessary. I do also think some sorts of incentives, or tax cuts, should be available to companies who provide clean energy. Governmental regulations should never be too big or to specific across the board, but it is necessary to have some set of guidelines in place when it involves the health of the population, as well as the plants and animals within it. Additionally, a large reason why people do not recycle enough is because they see no tangible incentive to do so. While recycling should not be required by law, it would be understandable for the government to again offer a small financial incentive, or tax relief, to households and businesses that reach certain thresholds of recycling. The amount, obviously, must not be too much, because that government spending could be used elsewhere.. I also do not think green initiatives or environmental preservation or restoration is the direct responsibility of the government. Their job is to monitor it, not take charge of it. Studies have shown that it takes over $300 million dollars of government spending on the environment to save money. And studies by the same groups have also shown that approximately every $8-9 million of government spending kills one life indirectly. So the government must way the positives and negatives of environmental policies.",5,4,3,5,5,6,2,3,3,1,2,4,1,1,1,1,1,3,2,2,3,4,2,2,4,2,5,1,1,2,1,18,8,23,Christian,2,2,Political Science,10,10
1117,1,9/22/14 21:31,R_etEvaGAPfaKMLWt,,,,,,,2,,"Because of my Christian faith, I believe that homosexuality is a sin. However, I do not believe that same-sex marriage should be outlawed. It should be up to each individual to choose what they want to do with their life. A sin is a sin, and that means that homosexuality is no different then cursing or pre-marital sex. Are there any laws against cursing or pre-marital sex? No, there are not. After all, one's choice to curse or have sex before marriage doesn't really affect any other person. Neither does same-sex marriage, so how does it make sense to have laws banning it? The core believe of Christianity is to love one another. There is no way that discriminating against homosexuals and denying them certain rights can be considered ""loving."" There is no reason to treat a fellow human being with hate and discrimination, and to do so only creates more of a problem. If Christians were more accepting toward same-sex marriage, tensions would drop and some of the homosexuality might actually decrease. Same-sex marriage should be legal throughout the United States because it would show that the large majority of Christians in this nation are loving, understanding, non-judgmental people. Accepting homosexuals for who they are, without passing judgment or trying to ""cure"" them, would ease the tensions in our country and perhaps eliminate the negative attitudes toward American Christianity. ",,5,5,5,5,4,6,3,2,2,5,3,5,4,4,5,6,2,5,5,5,6,4,1,3,6,3,5,3,4,2,2,18,8,9,Pentecostal,4,3,Mathematics Education,3,5
3753,1,9/22/14 22:25,R_2rxYsC1WHxjA7ad,,,,,,,2,"I disagree with abortion. I did research about it before and I became more disagree with abortion. Every year, about 5500 to 7000 million abortions are presumed to happen around the world. It is legal to decide to terminate a pregnancy up until 12th week of pregnancy. Many countries legally allow abortion like the US, and abortion occurs secretly in many countries that prohibit it. I think abortion is murder. Life is very important and needs to be protected by law even from a unexpected and disorder baby. I believe that abortion must be illegal because of religion and moral issues. There are several reasons why people decide to do abortion and one of the reason is it's because there are single mom. I think single mom is not a violent word then murder. I understand how it's difficult, but killing a fetus is way worse then being a single mom. Also the other reason is abortion is unsafe. I know that among women who had been pregnant at least once, the risk of breast cancer in those who had experienced an induced abortion was 50% higher than among other women. It's not good for their future kids or themselves. Also me as a christian, abortion can not be happened. God has given to us a life and each life is really important and has a right and plan to live in this world. For these reasons, I disagree with abortion.",,,5,5,4,5,6,5,3,4,3,5,4,4,4,3,6,5,4,6,5,5,2,6,6,3,6,2,6,4,4,5,2,20,4,29,christian,5,1,music,2,3
1346,1,9/22/14 23:02,R_06TZ9C3SqrcQEux,,,,,,,2,,"I believe that Same-Sex marriage should be legally and constitutionally allowed. Marriage is no longer an issue solely governed by the Church, when we as a society attach financial benefits (married people have lower tax rates) to marriage, we secularize the issue.  As a secular issue, and a contract between two people (one could go to a judge and be legally married, circumventing the Church entirely), it is unjust and unconstitutional to deny a subsection of the population access to the tangible and financial benefits that have been attached to the institution of marriage.  This iniquity renders claims of religion invalid, as we have made Marriage a secular entity as well.  Despite the aforementioned as a political leaning, dealing with the issue of Same-Sex marriage within the church is vastly different and incredibly more complicated.  So let us step into the realm of theology for a moment, and into a theology that poses a conflict in my mind.  I understand agree with the more conservative, legalistic approach to the issue, if we assume that the Bible is the inspired Word of God, then the entire Bible must be the inspired Word of God.  Therefore we can't pick and choose parts to abide by (though as a culture, we are often guilty of this).  Contrary to that though are the numerous other strictures within Leviticus (the primary text quoted in the Church's crusade against homosexuality), such as a prohibition against wearing clothing made from two-types of cloth (I am as I type this an ""abomination unto God""), as well as prohibitions against pork, and an exhaustive list of rules and regulations to ensure the health and righteousness of the Ancient Israelites.  My beliefs tend to be, that if we acknowledge God as Love, which I do, a God that loves us so much that he gave his Son to die for us, which I do.  And we believe that God desires a relationship with us, a relationship that closely mirrors the marital relationship.  How could we as a community of people who proclaim ourselves Christians, deny a subsection of the population (also equally loved by God) the opportunity to enter into that intimate relationship?  The apostle Paul said that it is better for people to get married than to burn with lust.  How dare we say that God's love isn't good enough for everyone?  However, with all of that said, within the Church, I have no right to entreat for sweeping and universal reforms, regarding the just treatment of others.  Within our government, I have both that right and that responsibility.",,4,6,6,6,6,6,6,4,3,3,1,4,5,4,6,6,2,4,5,6,1,5,2,3,6,3,3,2,4,5,1,18,8,41 transfer 16 in progress,Christian (specifically Disciples of Christ),8,1,Currently Music Education changing to Dietetics,7,9
770,1,9/23/14 9:59,R_cTn2bhuqInBSHbL,,,,,,,2,"As a Christian, I believe that abortion is wrong. This is a subject that comes up at lot in our world. I am a woman. I understand the issues associated with rape and pregnancy following rape. I understand the difficulty of unplanned pregnancy, but I believe that there are much better options available than to abort the pregnancy. I believe in life at conception, so to personally accept abortion from my point of view would be to accept murder. I respect women and their rights, but I also respect the rights unborn children. I do not agree with abortion as a solution to unplanned pregnancy. There are other options such as adoption, which would give the child to families willing to raise the child and provide a future for it. That child's future would have been denied by an abortion.I understand that pregnancy's have complications which can lead to endangerment of the mother. In case of these pregnancies, where the life of the mother in endangered, it may be best to end the pregnancy if there was no chance that the baby would survive in the first place. In this case, it should be up to the mother to choose which option she believes is best. This is the only exception in which abortion should be allowed.",,,2,2,2,2,2,4,4,3,3,3,3,4,4,2,6,6,6,5,5,6,1,4,6,4,6,6,4,4,4,6,2,18,8,12,Christian,1,2,English Education,6,6
1123,1,9/23/14 10:13,R_eJn0dgCgoQUN9jf,,,,,,,2,,,"I am all for environmentalism. I believe that since mother earth takes care of us, we should take care of mother earth. This planet is our home so we should do our very best to make sure that it is in good shape.  I would also like to have a clean world for my children. I can't imagine what it must be like for kids growing up in some of those polluted cities in China. I definitely do not want the same thing to happen here. Earth is much to valuable.  It is not something we should take for granted. It is good to see that more clean energies and more efficient engines are starting to show up. This current administration has done a good job stressing the importance of watching over our planet. I love seeing Obama crack down on less fuel efficient cars. It's about time we start moving away from inefficient combustion engines and started using some other form of fuel that will not harm the environment. It is also good to see more people recycling. You know not to long ago, it would be weird to see an entire neighborhood recycling but now it seems to be much more common. That is a very encouraging sign and I hope it continues. To conclude, I just want to say that it is good to see the world start to embrace environmentalism. Hopefully more of the countries like China will soon follow the example that most of the Western nations are setting.",4,4,5,6,6,6,4,5,5,5,4,6,6,6,2,6,6,1,6,3,1,3,2,3,5,3,4,5,2,1,1,19,8,30,none,8,3,criminology,8,10
847,1,9/23/14 13:27,R_6rIvRmipJpgkCDX,,,,,,,2,,,"I think it is our choice whether we want to participate in these activities.  The government can enforce these, and put regulations on them all day, but ultimately it is my choice to partake.  Obviously recycling is good for the environment, and we should probably participate in recycling, but it's my choice to do so.  If I want to throw my coke bottle away in the trash instead of recycling, that is my choice.  It shouldn't but a forced act, but rather something that is an alternative to the act of throwing something in the trash.  It isn't required to recycle anything, so it is still my choice.   The government should play a role in clean energy because if they don't, carbon emission will continue to rise until the atmosphere is gone, and global warming affects more than just the poles.  The amount of carbon emissions should be regulated, as it is, and should continue to be regulated.                                                                                                                                                                                                                                                                                                                                                                                               ",3,3,3,3,2,2,3,2,2,1,2,2,3,2,3,5,4,5,4,4,4,6,5,5,6,5,6,3,4,4,1,18,8,0,Christian,2,2,Computer Information Systems,7,8
1037,1,9/23/14 16:25,R_0B7xCrMBg8LAlrn,,,,,,,2,,,"I think that it is important to be conscious of how we, as humans, effect the environment. Recycling is not a new concept. In the past it was necessary to survival. People would use things until they were useless. They would reuse things for different purposes. They used all of what they had. It hasn't been until a recent time that this attitude has changed. Along with an attitude of wastefulness has come environmental damage. Clean energy is, again, a new concept. It hasn't been until recent years that the types of energy we use has been so harmful. 200 years ago the only energy used was clean. If our attitudes could just somewhat return to an old way of thinking we might not have the issues we have now. I believe that governmental regulations are necessary to make this change. People won't change unless they are forced to on issues, like this, that dint necessarily affect the individual, but society as a whole. There should be stricter regulations on car emissions, gas mileage that cars must get, and the materials they are made of. Recycling should be regulated and mandated in every city. The government should invest in research on clean energy. I think one of the biggest things is that people are misinformed about environmental issued and the simple ways that they can do a part in reversing the effects of humans on the environment. I believe that it is up to the government to also inform people on these issues. A class should be required for all high school students to take on the environment and the simple things they can do to help. If everyone does a small thing to help with the issue it would have a big impact on the environment.",6,6,6,5,5,6,5,5,5,6,4,5,6,6,6,6,4,6,6,6,3,5,3,3,6,3,3,4,3,6,2,19,8,15,christian,4,2,accounting,1,1
1310,1,9/23/14 17:56,R_50zkFKyTf3l49xj,,,,,,,2,,"My attitude towards same-sex message is very simple: it should be allowed. I honestly don?t understand why it isn?t allowed. The only stance I really see against it is the fact that it is against some people?s religion, but the United States of America has no established national religion. There is supposed to be a separation between the church and the state; however, religion ? Christianity specifically ? is so prevalent in American society, that people often assume that Christianity is the national religion.Same-sex marriage is slowly being allowed in more and more states, but I feel that the fact that it has to be debated is ridiculous. If you do not want same-sex marriage, do not marry someone from the same sex. It is that simple, really. Someone else?s marriage does not directly affect someone else?s life in any way, shape, or form. Stopping someone from getting married simply because of who they are marrying is not right. Allowing a consenting man or woman to marry another consenting person of the same sex will not lead to individuals wanting to marry within the family (marriage between cousins is already legal in over 50% of the states, actually) or for individuals wanting to marry an animal (that would still be illegal, even if it did, because animals are neither consenting nor able to sign a marriage document).",,5,4,6,5,5,6,3,3,4,3,1,5,4,5,1,5,5,5,6,6,3,1,2,2,3,1,4,2,1,3,2,19,8,39,Not applicable,7,1,English Education,4,7
3349,1,9/23/14 20:18,R_beeJf1s0IlHGcOV,,,,,,,2,"In my opinion abortion is unnecessary and should not be an option.  The reason why I feel this way is for the simple fact that each time a woman has an abortion, they are taking the opportunity to a plentiful life away from what once was a new forming human being.  There are many reasons that back up abortion for example rape can be a very controversial reason people become pro-abortion, however do those who sway that direction ever take the time to think that it was not the human being forming in the new mothers? wombs fault for his/ her formation.  I find the best resolution for such scenarios is the simple choice of adoption.  If adoption was chosen this would give the child an opportunity to life for one, with a possible family, and even a possible promising future.  Some find abortion to be the easiest way to deal with the ""problem"" by simply getting rid of it since it was something they never desired at that point in their life.  When couples engage in sexual activities they know what the possible outcomes are for such actions so why not take responsibility for something that was of no surprise to them?  Once again if they do not desire to take responsibility of their actions, then why not give the opportunity for other parents who are willing to care for the child and their future.",,,5,5,5,6,5,6,4,5,5,4,5,3,4,2,5,6,6,6,6,6,5,4,4,4,5,2,5,5,4,5,2,20,3,5,Catholic,5,3,Fashion Merchandising & Design,1,1
626,1,9/23/14 22:08,R_41It7oSigYLE4sZ,,,,,,,2,,,"I think recycling is important and it bothers me when I see facilities with stacks of paper in the trash just throwing it away. Its wasteful and makes me irate. I don't really have a attitude towards clean energy strongly,  think making a healthy environment is more than just smart cars, and solar lights but I do think that those play a part to less environmental pollution. I  have no stance on government regulations for the main reasoning being I am not familiar with most of them. I think that if we took more time recycling and finding new ways to recycle things then our environment could make a huge change, if the government worked to create regulations like everyone must recycle at least 10% of their waste annually or something the over time we could progress toward a huge environment change. If everyone could find something that he the environment that they are passionate about or we could make a bigger stance on waste and pollution the maybe more people would try a little bit harder. If every company was forced to recycle at leas 90% of paper, plastic, and glass products just imagine how much that would be! I also think that many people care about environmentalism but don't really know where to begin or are simply to lazy to do anything about it because just throwing the potentially recyclable stuff is more convenient than taking the time to bring it to a recycling plant",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,4,3,4,3,3,3,3,5,5,2,18,8,0,n/a,1,3,psychology,1,1
1082,1,9/23/14 22:17,R_3Xe0aqT88FPdeqp,,,,,,,2,"My views on abortion is that I am against it. I understand that people make mistakes and that people don't want to have to go through the long process of pregnancy when they didn't plan on getting pregnant or whatever reason they may have. But I think abortion should be illegal because in my eyes..you are killing a human being. Some may say it is not alive yet but it is in the process of growing which means that it is alive. If something is growing, it is alive. A plant may not be a human, but it is alive and when you don't feed it then you are killing it. Same with a baby, when you have to do something to your body to stop the growth of what it inside of you, that is killing it. I understand that it may be hard for people in the case of rape of something, but it is better to have the baby and put it up for adoption for someone else to love them than for their life to completely end for no reason when they didn't even have the chance the live. I think that abortion is wrong in every way. It should not be legal because you are killing someone. There are many options for therapy and guidance to help people through times like this. It is sad to see so many cases of abortion especially when I see some people having an abortion just because they didn't like the gender of their baby, or because they messed up and weren't trying to get pregnant. In my eyes, it is your fault that you didn't use protection or you weren't being 100% preventative and you messed up so you should pay the price.",,,5,5,5,5,5,5,3,5,4,5,4,4,3,2,3,5,1,2,5,5,1,4,6,5,6,6,5,4,3,5,2,18,8,3,Christian,4,2,Business,3,3
1652,1,9/23/14 23:06,R_d76Pcmk1MbZIFp3,,,,,,,2,,"i believe there is nothing wrong with same sex marriage. People should be allowed to marry who makes them happy. If this is truly the land of the free, those who like the same sex shouldn't be excluded. Equal rights is a large concept in America. I truly believe some people can't help what gender they are attracted to. If a man loves a woman, he has the right to marry her. If a man loves a man, he has the same right. I think people put themselves in business they don't belong in. How is it affecting them at all? Why would people not want their fellow citizens to be happy? Not letting homosexuals get married is basically saying it is completely fine to discriminate against them and not give them equal treatment. A lot of people argue that the Bible clearly says man and woman. Nowhere in the Bible does it say that marrying someone of the same sex is a sin. People need to separate church and state and just quit caring. To those people I would say to let other people do what makes them happy, and worry about yourself. They need to put themselves in the shoes of those who are homosexual. They have probably been ridiculed all of their lives and have always felt like they are unwanted. When they finally find someone that understands them and loves them, they should get to experience that happiness. I personally think it is stupid that anyone would be against this issue. For all of these reasons, I support same-sex marriage.",,6,6,6,6,6,6,6,6,6,6,5,5,3,3,3,6,4,3,6,6,2,3,4,3,4,4,4,4,3,5,2,18,8,2,Catholic,8,3,Criminology and Psychology,1,5
730,1,9/23/14 23:25,R_2ukRxzMrEKzhpD7,,,,,,,2,"After a long process of thought and constantly going back and forth on this topic, I believe that abortion should be illegal. Having been on the other side of this argument for quite some time, I made the switch to the illegal side when someone told me that a parent who does drugs while a child is in the womb can be charge with child abuse. While I never researched that, just knowing that it is a possibility to be true quickly changed my mind about abortion. While some choose to terminate the pregnancy before the baby begins to looks like a baby, there are many abortion where the baby is big enough to have to be dismembered. I can not even begin to fathom how that is seen as okay. If the person were outside the womb, the murdered would be thrown into jail for life. Yet it is okay to do that to a helpless, unborn child. Also, we are the start of a culture who does not value babies as a source of life, no matter the situation. We are also on the track to not viewing sex as something sacred as well. This leads to unplanned pregnancies and no value of the life growing inside of them. I used to be pro choice-that the woman has a right to choose-but then after thinking long and hard about it, I realized that neither does that innocent baby. There are other options besides violently killing a baby with the mom left to pick up the pieces once she realizes what she did. So many parents that do not have the ability to have children, yet enough moms that are not willing to sacrifice nine months of their life for the benefit of other. I personally feel it all stems around the 'all about me"" narcissistic attitude that pervades this culture. The baby should not be put to death because it inconveniences the person who is carrying him or her. They deserve a chance at life as well.",,,4,6,6,6,6,6,1,5,5,4,1,5,6,6,6,5,3,6,6,4,1,2,3,4,4,1,1,6,4,5,2,19,8,62,Christian-Protestant,7,3,Religious Studies,7,8
1095,1,9/23/14 23:44,R_0BboZhQIaBdjkbP,,,,,,,2,,,"Environmentalism is very important to me. For as long as I can remember my family has recycled. And even now that I'm living on my own at college, I still recycle. My roommate doesn't like to, but I make sure we do it. I know it doesn't seem like one person can make much of a difference, but every little bit helps. There is power in numbers. If everyone did it, our world would be much healthier. I don?t know why recycling is just now becoming popular. We should have been doing it from the get-go. For tons of years we?ve been just dumping trash out in a landfill, when we should have been reusing our resources. We only have a limited amount of resources; why not maximize them? It is extremely wasteful to only use things once. Clean energy is also important, however, I do not have the means to go out and buy an energy efficient car that is better for the environment. Governmental regulations are an absolute must. I know some people believe the government has too much control over our actions but I think when it's in the country's (or in this case) world's best interest, it's okay. Their regulations are not too strict, in my opinion. They just want to make sure we are disposing of things correctly and doing our best to contribute to a healthy earth.",5,5,6,5,6,6,4,4,5,4,4,5,3,3,2,6,6,4,5,3,3,5,5,3,6,4,3,5,3,2,2,20,8,63,Episcopalian,8,1,Marketing,3,8
744,1,9/24/14 8:42,R_0jjVjlGmw79Dn1P,,,,,,,2,,"I have been raised to believe that same-sex marriage is wrong.  I do not support it at all.  I come from a Christian background and everything I have been taught in church about gay marriage is that it is wrong and displeasing to God.  Same-sex marriage is gross to me because I cannot ever imagine how someone would ever be attracted to their own gender. It is not natural but our society has made it acceptable, causing more and more people to want to try it out.  Our nation has put in many new laws that support it and I completely disagree with it.  In America, people used to get made fun of and persecuted for it and that is the way it should be.  People have to be taught that it is wrong.  Then, when a gay couple has a kid, the kid grows up in a home where it is accepted and okay to be gay.  Then he or she may turn gay and the cycle goes on and on.  People that support gay marriage tend to believe that people who do not support it are just old folks that are not cool and hip on how the world works today.  Well that is not true. We are just folks that want to stick by our religious beliefs and follow what God has mapped out for us in the Bible.  If God thinks a man and a man should not get married or a woman and a woman should not get married then that is how it should be.",,5,5,3,3,5,2,3,2,3,3,4,3,5,3,3,5,4,1,4,5,3,5,5,4,5,6,4,5,5,4,1,18,8,1,Christian - Assemblies of God,3,2,Athletic Training,3,4
1610,1,9/24/14 11:33,R_7Onn4x0rBcsQvid,,,,,,,2,,"I believe that same-sex marriage should not be considered any differently than opposite-sex marriages.  One reason I believe this is because they are marriages between two people, not between two people and the rest of the world. Which is the same as a marriage between a straight couple, a marriage between two people. If a person is not the one personally entering into a union with someone who is gay, then it is not their problem.  Also, we have a constitutional right to the pursuit of happiness. As long as their marriage is not causing harm to others, then it is perfectly acceptable. Likewise, if a straight couple's marriage causes harm to others, I would not support it. Another point, those who are gay cannot have children unless through adoption or surrogacy. Homosexual people are not giving birth to more homosexual people, straight people are. The final reason I believe this is that we are all people, all human beings created the same. Each person is equal, with equal rights to life, liberty, and the pursuit of happiness.  To me, that means if one person is allowed to marry someone else then another person should not be kept from doing that for reasons so insignificant as gender. ",,5,5,5,5,5,5,4,5,5,4,4,4,4,4,1,4,5,4,4,3,3,5,5,3,4,4,4,4,3,4,2,18,8,0,Agnostic,8,1,Fashion Merchandising and Manangement,1,1
1021,1,9/24/14 12:26,R_eLQKAgX8oHIhBVb,,,,,,,2,,,"I feel very indifferent when it comes to environmentalism and the issues that mainly follow it. It seems like too much work to not get direct results to me. For example I do not concern myself with politics for the same reason, I am one person I am not going to get any direct results with one argument over government relations or whether or not I should recycle that bottle. However if, for instance, a recycling bin is given to me in an easy form like the recycling bins in our dorm rooms that I just have to fill up then empty in the trash room, I will take part but other than that I do not go out of my way to be concerned with these issues. Also is the fact that environmentally safe items always seem to cost more money and I like all other college student have an education to pay for. This is also because I feel that those who do concern themselves are working very hard to get nowhere so pretty much what?s the point. They work so hard to have a better world and spend so much of their lives just pushing slightly back on huge oil companies and other things that won?t budge. But in all honesty unless we get the majority of people in the whole world to back up the environmental issues movement we support we will get nowhere there will always be pollution there will always be hopes who do not care about that pollution.",6,5,5,3,3,5,3,3,3,3,4,4,4,4,4,5,2,2,3,3,1,2,1,2,4,2,1,6,2,1,2,18,8,0,presbyterian,3,2,psychology,3,7
