Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1,Q7,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q22,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q10,Q11,Q12,Q13,Q14,Q15_1,Q16,Q17,Q18,Q19
1001,1,1/21/14 18:22,R_9FgvC1SBPqw34d7,,,,,,,2,"Jimmy Carter's call to wait for the U.N. to complete their investigation before substantial military action by the United States is wise, because it removes the precedent of one nation choosing the best course of action in response to a human rights violation. This patience on behalf of the United States would give the United Nations increased authority and respect, which I believe would be beneficial, as a conglomerate of nations is more suited to determine international policy than a single nation is. If the purpose of government is to support and protect the people under that government, and if the United Nations is a collection of nations upholding the interests of the people of all of the constituent nations, then the United Nations is more suited to act in the interest of more people than any one of it's member nations, including the United States of America. While I believe that the United States should pursue military or economic action against Syria in the form of sanctions or direct military intervention, only doing to with the go-ahead from the United Nations would best confirm the U.N.'s authority.",2.275,276.752,632.655,8,7,3,4,5,4,5,4,1,2,2,5,1,5,4,1,4,5,1,1,5,4,5,2,6,3,5,5,5,2,1,6,1,17,1,1,Christian,4,Audiology,3,9,2
1129,1,1/21/14 20:16,R_86uF9lEuEAGQ9z7,,,,,,,2,"Morally, attacking civilians, especially those under one's own government, is wrong. Syria should never have employed such means against anyone, but did so against their own population. The U.S. apparently set a ""red line"" for how long and to how great an extent they would allow for this type of activity to continue. The UN is also mentioned by Obama in his reaction to these events. The entire UN, not just the U.S., should be working to solve these problems in Syria. The article also stated that the U.S. had been supplying aid to Syrian rebels. It seems that we are already involved in the conflict, whether Obama and the rest of the U.S. government would like us to be or not. I believe the U.S. and the UN should either have nothing to do with the course of events or wholeheartedly participate in the solution rather than attempting to go with some sort of middle ground. ",8.669,14.08,431.466,2,7,5,5,5,5,5,6,3,4,4,3,1,3,5,5,6,5,6,2,4,5,2,4,3,2,5,2,4,5,3,4,2,19,1,1,Christian,4,nursing,4,6,1
718,1,1/21/14 20:39,R_8HsloN19jpWQEXr,,,,,,,2,"Obviously using chemical weapons on civilians is morally wrong. The U.S. stated that Syria's use of chemical weapons would be a ""red line"" for them, and I think that they should stand by their promise of involvement. According to Bush, the Syrian President had seemed ""mischievous"", so the U.S. government likely was already watching out for something of this nature to occur. Governments are often times reluctant to jump into such conflicts, and this may be especially applicable to the U.S. policy now after involvement in Iraq and Afghanistan. However, it is clear that some action needs to be taken. ",2.62,365.325,391.149,5,7,5,5,5,5,5,6,4,4,4,3,1,3,5,5,5,5,6,2,5,5,2,4,4,2,5,3,4,5,3,5,2,19,1,1,Christian,4,nursing,4,6,1
734,1,1/22/14 12:15,R_1Am4cVHgHkAjFaJ,,,,,,,2,"I believe the US reaction is good. As far as I know they have not yet approved or carried out any strikes against Syria, but they are remaining firm on their stance. Chemical weapons should not be used. I know there was a problem for a little while because Obama said chemical weapons would be the red line. When it was found that chemical weapons had been used there was a debate about whether Obama would stay firm on this statement or go back on his word. Obama did ask Congress to consider giving him permission for a strike, but before a decision was reached another possibility came. There is now a negotiation to have Syria give up their chemical weapons. I think this is a great idea and, if at all possible, this would be the safest and most effective way to end the chemical warfare. However, if Syria stops negotiation I think we should seriously consider an attack. I do not like the thought of the US getting involved in another conflict, but something has to be done. ",5.544,376.18,385.07,7,7,3,5,5,4,5,6,3,3,3,3,3,4,3,3,1,4,5,5,6,5,2,5,3,1,2,1,4,3,1,4,2,18,1,1,Lutheran ,7,Entrepreneurship,5,8,2
849,1,1/22/14 12:16,R_3fwuZGhjxQSbFC5,,,,,,,2,"     My first reaction is a condemnation of Syria's president for attacking a civilian population-- that is unacceptable, no matter the conflict or weapons used. Civilian targets are off-limits.      Secondly, I have to condemn President Assad for his use of chemical weapons. They're banned by the U.N. for a very good reason. It doesn't matter if the target is civilian, military, infrastructure, or anything else one might seek to destroy during war. Chemical weapons are not to be used. Obviously it would be preferable that no weapons were used, and that conflicts like this one didn't exist. But since that isn't going to happen, at least boundaries can be set.      And third, I have to support the reactions of both President Obama and President Carter. The use of such weapons by any government or faction is not something that should be allowed for any reason, but rushing in without U.N. support is a very bad idea and has gotten the U.S. and its leaders in trouble before. For now it would be best to wait on the U.N. investigation, and decide on a course of action from there. ",3.34,514.67,527.281,8,6,6,5,5,6,5,5,2,4,5,3,2,4,4,4,1,5,4,5,6,4,5,1,2,3,3,1,2,2,2,1,1,Twenty,1,2,Atheist,10,Physics,7,7,1
1241,1,1/22/14 15:05,R_1HaiAZpxx2IrGp7,,,,,,,2,We need to remember this is a civil war between its leader and the people he leads (though not necessarily by choice).  Even though the popular belief Is that America needs to be involved in all world events concerning mass genocide and corrupt leaders we are not the worlds police force and we should not have a desire to be looked upon by every nation to solve other nations problems.  Is it wrong to kill innocent people yes it is.  Should we as humans do everything we can to help others in need I strongly believe in that principle and have given my Country 4 years of service to do that same thing in Iraq.  Obama cannot have it both ways.  He denounced George Bush for his involvement in Iraq (citing mainly the fact there were no chemical weapons) but ask the Kurds if Hussein had weapons. It would be hard to ask all of them since so many were actually killed by chemical weapons back in the 90's.  Or how about the mass genocides in some African countries right now?  We as a Nation need to make the decision to us our troops to help other nations and it should not hinder on what we will get in return such as oil.  Congress should not be bypassed they should have a say since they represent the people.  ,8.415,605.87,744.448,3,7,3,3,4,5,4,6,5,5,4,5,2,5,5,2,4,5,2,6,6,5,2,5,4,3,6,2,5,5,5,4,1,37,1,5,Christian,3,Education,8,8,1
436,1,1/22/14 15:10,R_8prQPkeU6o284nz,,,,,,,2,"I believe the use of chemical weapons is ridiculous. When going through and killing the quantity of people it did, that is evident to the readers that it should not be occurring and that killing the quantity of children and adults was ridiculous. ",9.265,9.265,59.439,1,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,5,6,4,3,4,6,6,2,6,6,4,4,2,20,4,2,none,5,pre-nursing,2,1,1
1092,1,1/22/14 15:41,R_cZkLCQ4MjWsVF8p,,,,,,,2,"My overall opinion is that the use of chemical weapons is completely wrong. The person or people using the chemicals for weapons are basically saying that they do not care at all what happens to all the innocent people. As long as they get their message across of accomplish their designed task, they are okay with killing people in a horrible manner. Many chemicals do not kill people right away. It would be bad enough if they did, but many times chemicals have long term effects that people have to suffer from before they die. The pain that these people feel must be so great before they are finally blessed with relief in some way. Chemical weaponry is a horrible thing. People fighting with guns and bombs are bad enough. So many are wounded and dead from that alone. When you add in chemical wars the list worsens even more. People should not have to die, but in reality they do. If the simple fact is that in this day and time someone has to die, then at least let them die with dignity and as quickly as possible. Not through suffering. The United States' reaction to wait until further information was given was both good and bad. It was good because it is good to keep a civilized head in matters of war and death, and to see all facts. It is bad because we do not want to give the other countries the idea that we think that chemical weaponry is a good thing.",25.622,25.622,396.442,1,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,6,6,5,5,5,6,5,5,6,2,5,5,4,4,2,19,1,2,Roman Catholic,5,Early Childhood Education,5,4,1
1063,1,1/22/14 20:51,R_7OIyWhLp1CGNA69,,,,,,,2,"I think that Assad went to far by using chemical weapons on his OWN people. Using chemical weapons against anyone or anything is simply inhumane! this is out rageous and shouldn't be allowed, although i don't think its the USA's job to step in and be the world police. even though it is wrong it is their choice to do as they please in their own country, now if they would have used chemical weapons against the USA then by all means yes retaliate. Obama would have been stepping in on a domain that wasn't his to tread on. As for Bush not liking Assad, that really is just irrelevant, but i secretly believe the rulers of all country get together and say alright i'm going to do this and this is how you need to react to it! Anyways thats off topic, regardless of the reason for the use of chemical weapons i think it is down right wrong and shouldn't be allowed but that should be up to the people of the country to decide to take action not other countries stepping in.",8.5,291.382,440.045,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,6,3,6,6,4,4,5,4,5,1,4,4,4,1,2,19,5,1,Agnostic,10,Pre-Med,6,9,1
595,1,1/23/14 12:59,R_3eiUqJhQ7eplMz3,,,,,,,2,"My reaction to Syria's use of chemical weapons is sad. How people can kill innocent people just because they can is very sad. A weapon as dangerous as that should not be aloud, ever. Something so tragic could occur from such a deathly weapon and that needs to be avoided as much as possible. The United States seems concerned about the use of chemical weapons, and somewhat afraid. I agree with them. It is something we should worry about. Killing 1,00 innocent people just because you can is terrible. ",11.336,58.77,199.044,2,5,5,5,5,4,6,3,4,5,6,5,5,6,5,4,5,5,6,4,6,6,5,5,6,6,6,2,5,5,4,3,2,18,1,1,Christian,5,Marketing Managment,3,8,1
642,1,1/23/14 20:48,R_1yMhwzYtTs9pcTr,,,,,,,2,I think chemical weapons pose a huge threat to mankind. Our reaction to take a political approach and not get involved in a conflict we didn't need to get involved with was the right choice for us to make as a country. Our military is already spread thin with our war in IRAQ and we didn't need to go to war again and cost civilian lives when the approach we took led to them disarming their chemical weapon stash and saving lives.,5.041,5.041,263.971,1,7,5,2,3,4,2,5,5,5,5,5,4,3,5,5,6,6,1,4,4,5,1,6,4,4,6,4,3,5,5,5,1,28,1,2,Christian,3,Technology Management,2,8,1
207,1,1/24/14 12:20,R_8dWED80t6nKJEkl,,,,,,,2,"I think that the United State should stay out of Syria's business. They are their own country and don't need anything from the US. I think most of the wars and conflicts arose from other countries coming in, and causing trouble....",7.889,20.994,60.521,3,5,5,5,5,5,4,4,2,3,4,5,6,6,6,6,6,5,6,6,6,5,6,3,6,6,6,6,6,6,5,2,2,19,1,1,Latter Day Saint,1,Marketing,5,4,1
233,1,1/24/14 12:37,R_4YDoOew8I06qQ3b,,,,,,,2,Syria's use of chemical weapons was a tragedy for the victims and a call to arms for the united nations that something needs to be done. We as a collective whole strive to make chemical weapons obsolete and for Syria to use them on their own people is just horrifying. I think the United States and the rest of the joint nations need to react with great fierceness and swiftness to make sure this atrocity doesn't take place again.,1.129,1.129,121.749,1,9,6,6,5,5,6,5,6,5,6,5,6,6,6,6,6,6,5,6,6,6,5,5,6,6,6,5,6,6,6,6,1,22,7,3,none,5,business management,5,5,1
804,1,1/24/14 22:44,R_9Eof31TQYikSMxn,,,,,,,2,"I am unsure about what this article was saying. Learning and reading about current events like this sort, do not interest me in any way. But I disagree with Obama in the way that he assumed that Syria used chemical weapons on their people. ",1.221,12.898,238.541,2,5,3,5,5,4,4,6,5,5,5,4,4,5,5,1,2,4,5,5,5,4,3,5,3,2,5,2,5,2,2,3,2,19,1,1,Luthren,2,Marketing Management,3,3,1
550,1,1/26/14 8:18,R_3aY3C6vbtfBIRqR,,,,,,,,"Although it was wrong for Syria to use chemical weapons, the U.S should not have gotten involved.  It was not a direct threat to the U.S.  Obama should have focused on fixing our own national issues before focusing on other country's problems.  The United Nation is perfectly equipped to handle such situation.  Unless it was a direct threat to our own country, or Syria had requested assistance, there was no reason for the U.S. to be involved.",2.835,2.835,165.227,1,5,5,5,6,6,6,5,3,5,4,3,2,2,2,2,1,5,6,2,6,6,2,4,3,3,6,2,5,2,2,2,2,19,4,1,Asatru,4,Professional Writing/ Technical writing,6,8,2
955,1,1/27/14 13:20,R_8uACk8tZMHLM3qZ,,,,,,,2,"My reaction:I do not think it is right for Syria to use chemical weapons, especially on their own people. This is a crime against humanity. I think Syria should be punished for using chemical weapons. I do not understand why the Syrian people have not rebelled against their government. Although I do not like that United States gets involved with other countries affairs, I think if this could potentially be a threat to the U.S. then I do think the U.S. needs to respond with a military move. I would hope the U.S. first tries to solve this issue peacefully by one of the U.S.'s diplomats going to talk to Syrian officials. If this does not work, then I think the U.S. needs to send the U.S. military over to solve this solution in what ever way possible if this is a threat to the safety and security of the U.S. U.S. Reaction: I think President Bush was right to not like the president of Syria. He was wise to mistrust him, especially because of the allegiance between Syria and Iran. I know Bush was concerned with the war in Iraq during his time of presidency, but wish he could have done something more to end the war more quickly. Senator McCain's view is understandable;  I agree with him. I am not clear if McCain meant we should do something or only do something if this behavior by Syria continues. The wording, to me, was unclear. I do agree with McCain that the U.S. does need to something because it is not right for Syria to do this and it could be a threat to our safety. Obama seems against anything that may lead to military involvement, so I hope Obama listens to members of other parties such as Senator McCain. ",10.148,374.599,510.624,3,8,3,4,5,5,6,5,3,3,4,5,5,4,4,5,5,4,6,5,5,5,2,6,2,3,5,4,5,5,4,4,2,20,1,3,Catholic (Christian),2,Middle School Education,6,6,1
796,1,1/28/14 17:28,R_do5dBLJa2e4XL13,,,,,,,2,"I know how much of a tragedy the use of Syrian chemical weapons was on innocent civilians was. I feel awful that such an awful event could happen anywhere in the world. My only issue with the US getting involved is that we have our own problems to deal with right now. I feel that the US has been sticking its nose into others' business for too long now. We have become known as the world's ""watchdog"" in that we are always pestering nations to be more like us or trying to feel like we have to save the world. I agree that the world is a terrible place and lots of foul events happen in it everyday, but I still do not feel that we should be obligated to help everyone every single time something tragic happens. We do not have the political standing right now to involve ourselves in another Middle Eastern issue. We have already ruined enough relationships over there. I also took note that the people who were cited in this article were Democrats. I happen to also know that the Republicans were against the involvement of the US over in the Syrian area. While I am a Republican myself, I must stand by the Republicans' decision that we should not involve ourselves in this issue. Another war could be disastrous for our economy and men who offer up their time to fight for this country. I think America has seen enough hardships lately. We have an obligation to fix ourselves before we fix others. I don't feel it's right to say that another demographic is messed up whenever we have our own issues. Again, I feel horrible for what has happened in Syria, but America has its own problems to tackle before it tackles everyone else's.",5.073,5.073,364.524,1,3,4,5,5,5,5,5,3,6,6,4,2,5,5,5,6,5,2,6,6,5,6,4,6,2,5,5,5,6,6,6,2,19,1,1,Christian,1,Accounting,6,7,1
695,1,1/30/14 11:46,R_78lQ2MKA8PfnZ5z,,,,,,,2,"I agree with what Senator John McCain stated in that we should not support isolated military strike without the big picture/ strategy in mind. I believe individual attacks against Syria just because is not what our military is suppose to be for, we are suppose to be trying to protect our rights and freedom. Attacks that have no real significant are just cruel and unnecessary. I believe we should no use chemical/ nuclear weapons on Syria because that will just start a nuclear war and I think that will cause a lot more deaths then protection for Americans families. ",62.548,258.154,318.696,2,4,4,4,5,5,4,6,5,3,5,3,1,3,2,2,5,4,2,6,4,5,4,3,5,5,5,5,3,3,4,6,2,19,4,1,Catholic ,4,Athletic Training ,5,8,1
523,1,1/30/14 14:33,R_eJKzEivdSX3DpOd,,,,,,,2,so i totally accidentally just hit the skip forward section so i will talk about what i know about chemical warfare for five minutes. i have a relative that had to deal with chemical ware fair and it has caused a lasting problem on his health and can no longer keep a job because of the lasting effect.,4.959,138.903,140.667,10,9,5,5,4,5,5,5,5,5,4,4,4,2,4,4,4,5,5,3,5,5,1,4,2,3,4,3,4,2,3,2,2,18,1,1,catholic ,4,cellular and molecular biology,6,8,2
1096,1,1/31/14 8:42,R_9TDgxzHe0S8MbrL,,,,,,,2,"This is a very sensitive issue in which there is no obvious choice.  Taking action as well as sitting idly by both have their positives and negatives.  I believe that we should have taken action against the Syrian government.  The United States is losing it's ""scare factor"" among other nations.  We have began losing allies such as Great Britain due to disagreements with the new administration, which hurts us greatly as far as gaining respect from other countries.  The U.S. used to be the most feared country and the strongest, we are slowly losing both of those attributes.  Because of this decline in worldwide respect, we need to gain back our power to decrease possible threats against national security. It's just that simple, if other leaders know that we will not stand for blatant disregard for human rights, such as in Syria, we decrease our chances in being targeted for future attacks.  The United States' reaction to this occurrence yielded a positive outcome.  The decision must have been a very difficult one to make, seeing as there wasn't really a right or a wrong solution.  I think that our government did the best that they could do with current resources and cultural environment.  ",6.509,390.266,559.392,4,8,3,3,6,3,5,6,6,4,5,6,4,6,5,5,6,4,1,3,4,6,1,5,6,4,6,6,6,5,4,5,2,19,1,2,Christian,1,Political Science,9,10,1
1208,1,1/31/14 10:39,R_4MHpnugmztd3egR,,,,,,,2,"It appears as though the Syrian leaders are aggressively targeting their own people with harmful chemical weaponry. The approach from the U.S is clear: that these leaders should be stopped and struck from power. I ask though, why are these weapons being used? For what reason is a leader attacking his own people? How are his people behaving to warrant such behavior? Indeed, the article stated that ""innocent men"" are dying, in which case we can assume the worst about Assad's regime, although further research into the actions of these ""innocent men"" may provide reasoning to such behavior, or may be it will not and will prove that the terror and violence Assad inflicts is unnecessary. In my belief, as it is the belief of the AMerican government, that the horrors in Syria are as a consequence of the tyrannic Assad movement, which should indeed be stopped for the peace of the nation and the threat that it poses to the rest of the world.",10.055,401.391,454.451,7,7,5,4,5,5,6,6,3,4,3,4,4,4,5,5,5,4,4,2,5,5,2,6,5,5,5,5,5,5,5,4,1,18,1,1,Christian,4,Business,7,9,2
422,1,2/3/14 16:23,R_esNOZUHE1vTJLBb,,,,,,,2,"I believe that United States has every right to be concerned with the chemical weapons of Syria. Syria can cause harm to many of the countries through out the world with these weapons. The United States should first try to make an agreement with Syria about there weapons.However, if an agreement cannot be met then the United states should do whatever it takes to get the weapons away from them. With these weapons many lives can be taken. I feel as though many people would be very happy if the United States did jump in and confiscate the weapons.",3.966,190.95,193.457,9,9,4,5,4,5,5,5,4,4,4,5,5,4,5,6,5,6,5,4,6,6,5,5,6,5,5,6,5,6,6,4,1,20,1,3,christian,5,marketing,6,8,2
954,1,2/3/14 20:07,R_5cM8vLPqO4WuNb7,,,,,,,2,"I agree with America's and Obama's response in wanting to interfere and enter into Syria in order to stoppresident al-Assar regain and harm to his own people. To be honest I can't believe the U.N hasn't intervened already because what he is doing is in no way acceptable and needs to be stopped. But obviously they can't do anything rational. A military plan needs to be developed and an attack on Syria needs to happen sooner rather then later before the president decides to harm more of his people.Once a plan is developed and agreed upon then military intervention can be used to stop to antics in Syria.",28.75,342.261,346.114,17,7,4,4,5,4,5,6,3,5,4,5,3,5,5,4,6,2,4,6,5,3,2,5,4,3,5,5,3,5,4,3,1,19,1,1,Christian,5,Business,1,5,2
1508,1,2/9/14 19:24,R_5vfbkY2c7xWuxlX,,,,,,,2,"I think Syria's use of chemical weapons is appalling. Chemical weapons are one of the most horrific means of killing people and the fact they are using them on innocent people is horrible. Its unfortunate that in war it is the innocent bystanders that feels the most impact from the destruction and bears the cost. I do not know why societies deem these necessary other than they can be cheaply made any can be used as a fear factor to keep the local populace from rising up against them. I do not blame the our government from stepping in, however sometimes it would be nice if other countries put their foot down on such matters. ",7.022,386.463,452.291,3,8,5,3,5,5,6,6,3,3,3,4,4,6,5,3,4,5,4,3,6,5,4,5,5,2,5,2,4,4,2,5,1,28,1,2,Christian,6,History Education,1,3,1
715,1,2/10/14 11:28,R_8Dm7gdvk7b6V7RX,,,,,,,2,"My reaction to this would be that it is wrong of Syria to do what they are doing but the thought of america coming in and putting ourselves at risk for another fight, would also be something to think about. it is disgusting to hear that such a thing is happening, those people must not feel safe nor able to trust even their own leader to protect them. I don't know how anyone is capable of doing such a thing. The people in Syria are innocent and need help, but we don't have to just come in and attack, we should talk to other countries and form a plan to stop this from continuing. These people are in danger. Fifty years from now we are all going to talk about this. If we don't do anything and just sit back then we will be ashamed that we didnt help however we would also regret putting ourselves in danger. There needs to be a plan. ",2.5,67.235,314.147,2,7,6,6,6,6,6,6,6,5,5,5,4,6,6,6,4,6,6,6,6,6,3,4,4,3,4,5,3,5,3,5,2,19,4,1,Mix of christianity and Budhism,7,Cellular Molecular Biology,2,7,1
814,1,2/10/14 11:30,R_8iCANTGPURluqix,,,,,,,2,"I can see both sides to the reaction of the result of Syria's chemical weapon abuse. It is a horrible and morally wrong thing for a country to do. I believe that the world should unite together to stop any further use of chemical weapons; however, I do not think we should jump into anything right away. This situation needs a lot of communication and time to react accordingly. I have to admit myself that I am not fully aware of everything that is going on because I tend to not watch the news or read any newspaper articles. From what I have read in this article I do believe this is a situation the United States should keep an eye on.",6.961,6.961,309.186,1,5,4,4,3,4,2,5,4,1,3,4,3,5,4,3,5,5,4,6,6,5,4,6,4,4,5,2,5,5,3,4,2,20,1,2,lutheran,5,art education,3,2,1
813,1,2/11/14 13:30,R_39RrWUQlZ2QwC7r,,,,,,,2,"I believe that Syria's use of chemical weapons should be punished. It is clearly wrong to use these weapons under any circumstances. There is no excuse to their behavior and they need to be held accountable. I don't believe that it is entirely the United State's responsibility to punish Syria. But  the US is looked at as a major force, so there is some reasonable expectations for our reaction as a country. Weather it is the US or the UN, someone needs to hold Syria accountable for their actions.",11.024,231.691,285.872,18,7,4,4,5,4,4,5,3,3,3,3,3,4,4,3,3,5,5,4,4,5,3,5,4,5,5,2,4,3,3,4,2,19,1,1,Catholic,5,Nursing,4,7,1
